ENCODEURL|dZjWi|SC_OPCODE_ENCODEURL|Return a URL-encoded string.|avFqs|HID_FUNC_ENCODEURL||
ERFC.PRECISE|JWput|SC_OPCODE_ERFC_MS|Returns the complementary error function.|qwvp7|HID_FUNC_ERFC_MS|Returns complementary values of the Gaussian error integral between x and infinity.|
ERF.PRECISE|ag8sa|SC_OPCODE_ERF_MS|Returns the error function.|CnNKg|HID_FUNC_ERF_MS|Returns values of the Gaussian error integral.|
WEBSERVICE|XACHe|SC_OPCODE_WEBSERVICE|Get some webcontent from an URI.|C8J4v|HID_FUNC_WEBSERVICE|Get some web content from a URI.|
COLOR|eu8AU|SC_OPCODE_COLOR|Returns an implementation defined value representing a RGBA color|QeEoL|HID_FUNC_COLOR||
FILTERXML|YeUQA|SC_OPCODE_FILTERXML|Apply an XPath expression to an XML document|weAoH|HID_FUNC_FILTERXML|Apply a XPath expression to a XML document.|
BITLSHIFT|FoPSq|SC_OPCODE_BITLSHIFT|Bitwise left shift of an integer value.|tBEEY|HID_FUNC_BITLSHIFT|Shifts a number left by n bits.|
BITRSHIFT|KVBwG|SC_OPCODE_BITRSHIFT|Bitwise right shift of an integer value.|hFkEz|HID_FUNC_BITRSHIFT|Shifts a number right by n bits.|
BITXOR|KTB8x|SC_OPCODE_BITXOR|Bitwise \"exclusive OR\" of two integers.|bRuAE|HID_FUNC_BITXOR|Returns a bitwise logical "exclusive or" of the parameters.|
BITOR|BoKrB|SC_OPCODE_BITOR|Bitwise \"OR\" of two integers.|Difbf|HID_FUNC_BITOR|Returns a bitwise logical "or" of the parameters.|
BITAND|8mtGu|SC_OPCODE_BITAND|Bitwise \"AND\" of two integers.|EVMrG|HID_FUNC_BITAND|Returns a bitwise logical "and" of the parameters.|
CHISQ.INV|5n6HW|SC_OPCODE_CHISQ_INV_MS|Values of the inverse of CHISQ.DIST(x;DegreesOfFreedom;TRUE()).|MoYS9|HID_FUNC_CHISQINV_MS|Returns the inverse of the left-tailed probability of the chi-square distribution.|
CHISQINV|mCaHt|SC_OPCODE_CHISQ_INV|Values of the inverse of CHISQDIST(x;DegreesOfFreedom;TRUE()).|oAFnj|HID_FUNC_CHISQINV||
CHISQ.DIST|XTe77|SC_OPCODE_CHISQ_DIST_MS|Returns left-tail probability of the cumulative distribution function or values of the probability density function of the chi-square distribution.|rSqif|HID_FUNC_CHISQDIST_MS|Returns the probability density function or the cumulative distribution function for the chi-square distribution.|
CHISQDIST|cguFP|SC_OPCODE_CHISQ_DIST|Returns left-tail probability of the cumulative distribution function or values of the probability density function of the chi-square distribution.|NDrR5|HID_FUNC_CHISQDIST||
GAMMA|H7fbR|SC_OPCODE_GAMMA|Returns the value of the Gamma function.|JMBWT|HID_FUNC_GAMMA||
NUMBERVALUE|UW2wN|SC_OPCODE_NUMBERVALUE|Converts text to a number, in a locale-independent way.|5AiQi|HID_FUNC_NUMBERVALUE|Convert text to number, in a locale-independent way.Constraints: LEN(decimal_separator) = 1, decimal_separator shall not appear in group_separator|
EUROCONVERT|pNTAf|SC_OPCODE_EUROCONVERT|Converts a value from one to another Euro currency.|n9aTe|HID_FUNC_EUROCONVERT||
GETPIVOTDATA|EKASF|SC_OPCODE_GET_PIVOT_DATA|Extracts value(s) from a pivot table.|qgZQo|HID_FUNC_GETPIVOTDATA||
BAHTTEXT|bTUSF|SC_OPCODE_BAHTTEXT|Converts a number to text (Baht).|792Hd|HID_FUNC_BAHTTEXT||
INFO|uNRvf|SC_OPCODE_INFO|Returns information about the environment.|PwsEc|HID_FUNC_INFO||
HYPERLINK|BGYYE|SC_OPCODE_HYPERLINK|Hyperlink.|G4psC|HID_FUNC_HYPERLINK|When you click a cell that contains the HYPERLINK function, the hyperlink opens.If you use the optional CellText parameter, the formula locates the URL, and then displays the text or number.To open a hyperlinked cell with the keyboard, select the cell, press F2 to enter the Edit mode, move the cursor in front of the hyperlink, press Shift+F10, and then choose Open Hyperlink.|
ROMAN|v74nk|SC_OPCODE_ROMAN|Converts a number to a Roman numeral.|BRepp|HID_FUNC_ROEMISCH|Converts a number into a Roman numeral. The value range must be between 0 and 3999, the modes can be integers from 0 to 4.|
CONVERT|6DDQB|SC_OPCODE_CONVERT|Converts a value according to a conversion table in the configuration (main.xcd).|rFaBE|HID_FUNC_UMRECHNEN|Converts between old European national currency and to and from Euros.|
DECIMAL|goMvh|SC_OPCODE_DECIMAL|Converts a text of a specified number system to a positive integer in the base given.|eJbXN|HID_FUNC_DEZIMAL|Converts text with characters from a number system to a positive integer in the base radix given. The radix must be in the range 2 to 36. Spaces and tabs are ignored. The Text field is not case-sensitive.If the radix is 16, a leading x or X or 0x or 0X, and an appended h or H, is disregarded. If the radix is 2, an appended b or B is disregarded. Other characters that do not belong to the number system generate an error.|
BASE|wCT5J|SC_OPCODE_BASE|Converts a positive integer to text from a number system to the base defined.|GXMAP|HID_FUNC_BASIS|Converts a positive integer to a specified base into a text from the numbering system. The digits 0-9 and the letters A-Z are used.|
DDE|u8rph|SC_OPCODE_DDE|Result of a DDE link.|gqbNa|HID_FUNC_DDE|Returns the result of a DDE-based link. If the contents of the linked range or section changes, the returned value will also change. You must reload the spreadsheet or choose Edit - Links to see the updated links. Cross-platform links, for example from a %PRODUCTNAME installation running on a Windows machine to a document created on a Linux machine, are not allowed.|
STYLE|NhuAe|SC_OPCODE_STYLE|Applies a Style to the formula cell.|Vf7ka|HID_FUNC_VORLAGE|Applies a style to the cell containing the formula. After a set amount of time, another style can be applied. This function always returns the value 0, allowing you to add it to another function without changing the value. Together with the CURRENT function you can apply a color to a cell regardless of the value. For example: =...+STYLE(IF(CURRENT()&gt;3;"red";"green")) applies the style "red" to the cell if the value is greater than 3, otherwise the style "green" is applied. Both cell formats have to be defined beforehand.|
WORKDAY.INTL|GU3GC|SC_OPCODE_WORKDAY_MS|Returns the serial number of the date before or after a number of workdays using arguments to indicate weekend days and holidays.|SuDt2|HID_FUNC_WORKDAY_MS||
NETWORKDAYS.INTL|dgGoA|SC_OPCODE_NETWORKDAYS_MS|Returns the number of workdays between two dates using arguments to indicate weekend days and holidays.|FsRxt|HID_FUNC_NETWORKDAYS_MS||
